"LOCATION","Country","REG_ID","Region","IND","Indicator","ISC11","Education ISCED level","GENDER","Gender","MEAS","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","AU104","Coffs Harbour - Grafton","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,75.586,,
"AUS","Australia","AU105","Far West and Orana","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,73.779,,
"AUS","Australia","AU106","Hunter Valley Exc Newcastle","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,72.413,,
"AUS","Australia","AU107","Illawarra","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,78.66,,
"AUS","Australia","AU108","Mid North Coast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,77.619,,
"AUS","Australia","AU109","Murray","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,70.232,,
"AUS","Australia","AU110","New England and North West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,73.998,,
"AUS","Australia","AU111","Newcastle and Lake Macquarie","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,74.281,,
"AUS","Australia","AU112","Richmond - Tweed","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,72.932,,
"AUS","Australia","AU113","Riverina","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,71.952,,
"AUS","Australia","AU114","Southern Highlands and Shoalhaven","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,78.311,,
"AUS","Australia","AU1GS","Sydney","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,71.563,,
"AUS","Australia","AU201","Ballarat","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,66.104,,
"AUS","Australia","AU202","Bendigo","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,62.112,,
"AUS","Australia","AU203","Geelong","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,65.672,,
"AUS","Australia","AU204","Hume","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,65.992,,
"AUS","Australia","AU205","Latrobe - Gippsland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,62.706,,
"AUS","Australia","AU215","North West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,65.193,,
"AUS","Australia","AU216","Shepparton","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,60.893,,
"AUS","Australia","AU217","Warrnambool and South West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,63.488,,
"AUS","Australia","AU2GM","Melbourne","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,65.964,,
"AUS","Australia","AU306","Cairns","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,59.478,,
"AUS","Australia","AU307","Darling Downs - Maranoa","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,59.478,,
"AUS","Australia","AU308","Fitzroy","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,58.939,,
"AUS","Australia","AU309","Gold Coast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,67.57,,
"AUS","Australia","AU312","Mackay","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,60.775,,
"AUS","Australia","AU315","Queensland - Outback","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,61.777,,
"AUS","Australia","AU316","Sunshine Coast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,64.144,,
"AUS","Australia","AU317","Toowoomba","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,60.217,,
"AUS","Australia","AU318","Townsville","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,61.25,,
"AUS","Australia","AU319","Wide Bay","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,61.062,,
"AUS","Australia","AU3GB","Brisbane","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,61.636,,
"AUS","Australia","AU405","Barossa - Yorke - Mid North","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,62.444,,
"AUS","Australia","AU406","South Australia - Outback","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,64.293,,
"AUS","Australia","AU407","South Australia - South East","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,62.157,,
"AUS","Australia","AU4GA","Adelaide","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,63.532,,
"AUS","Australia","AU501","Bunbury","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,67.638,,
"AUS","Australia","AU508","Western Australia - Outback","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,67.4,,
"AUS","Australia","AU509","Western Australia - Wheat Belt","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,65.918,,
"AUS","Australia","AU5GP","Perth","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,70.607,,
"AUS","Australia","AU601","Hobart","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,61.384,,
"AUS","Australia","AU602","Launceston and North East","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,63.975,,
"AUS","Australia","AU603","South East","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,57.605,,
"AUS","Australia","AU604","West and North West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,59.899,,
"AUS","Australia","AU701","Darwin","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,68.906,,
"AUS","Australia","AU702","Northern Territory - Outback","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,73.338,,
"AUS","Australia","AU801","Australian Capital Territory","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,64.088,,
"AUT","Austria","AUT","Austria","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,88.5,,
"AUT","Austria","AT11","Burgenland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,94.9,,
"AUT","Austria","AT12","Lower Austria","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,94.8,,
"AUT","Austria","AT13","Vienna","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,91.6,,
"AUT","Austria","AT21","Carinthia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,81,,
"AUT","Austria","AT22","Styria","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,79.1,,
"AUT","Austria","AT31","Upper Austria","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,87.1,,
"AUT","Austria","AT32","Salzburg","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,86.6,,
"AUT","Austria","AT33","Tyrol","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,88.3,,
"AUT","Austria","AT34","Vorarlberg","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,88.4,,
"BEL","Belgium","BEL","Belgium","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,98.2,,
"BEL","Belgium","BEL","Belgium","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,98.2,,
"BEL","Belgium","BE1","Brussels Region","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,98.7,,
"BEL","Belgium","BE1","Brussels Region","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,100,,
"BEL","Belgium","BE2","Flemish Region","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,98.9,,
"BEL","Belgium","BE2","Flemish Region","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,98.6,,
"BEL","Belgium","BE3","Wallonia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,96.8,,
"BEL","Belgium","BE3","Wallonia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,96.8,,
"CZE","Czech Republic","CZE","Czech Republic","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,86.6,,
"CZE","Czech Republic","CZE","Czech Republic","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,87.7,,
"CZE","Czech Republic","CZ01","Prague","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,83,,
"CZE","Czech Republic","CZ01","Prague","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,84.8,,
"CZE","Czech Republic","CZ02","Central Bohemia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,81.9,,
"CZE","Czech Republic","CZ02","Central Bohemia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,83.5,,
"CZE","Czech Republic","CZ03","Southwest","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,89,,
"CZE","Czech Republic","CZ03","Southwest","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,90.6,,
"CZE","Czech Republic","CZ04","Northwest","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,81.2,,
"CZE","Czech Republic","CZ04","Northwest","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,81.5,,
"CZE","Czech Republic","CZ05","Northeast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,89.3,,
"CZE","Czech Republic","CZ05","Northeast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,90,,
"CZE","Czech Republic","CZ06","Southeast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,89.2,,
"CZE","Czech Republic","CZ06","Southeast","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,90.1,,
"CZE","Czech Republic","CZ07","Central Moravia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,91.6,,
"CZE","Czech Republic","CZ07","Central Moravia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,92.5,,
"CZE","Czech Republic","CZ08","Moravia-Silesia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,87.6,,
"CZE","Czech Republic","CZ08","Moravia-Silesia","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,88.8,,
"DNK","Denmark","DNK","Denmark","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,97.6,,
"DNK","Denmark","DK01","Copenhagen Region","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,97.5,,
"DNK","Denmark","DK02","Zealand","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,97.2,,
"DNK","Denmark","DK03","Southern Denmark","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,97.8,,
"DNK","Denmark","DK04","Central Jutland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,98.2,,
"DNK","Denmark","DK05","Northern Jutland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,97.1,,
"FIN","Finland","FIN","Finland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,79,,
"FIN","Finland","FIN","Finland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,79.5,,
"FIN","Finland","FI19","West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,76.9,,
"FIN","Finland","FI19","West","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,77.1,,
"FIN","Finland","FI1B","Helsinki-Uusimaa","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,85.2,,
"FIN","Finland","FI1B","Helsinki-Uusimaa","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,85.7,,
"FIN","Finland","FI1C","South","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,79.8,,
"FIN","Finland","FI1C","South","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,81.3,,
"FIN","Finland","FI1D","East and North","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,72.1,,
"FIN","Finland","FI1D","East and North","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,72.1,,
"FIN","Finland","FI20","Åland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,93.4,,
"FIN","Finland","FI20","Åland","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,91.1,,
"FRA","France","FRA","France","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,96.3,,
"FRA","France","FRA","France","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,96.7,,
"FRA","France","FR1","Île-de-France","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,100,,
"FRA","France","FR1","Île-de-France","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,100,,
"FRA","France","FRB","Centre - Val de Loire","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,100,,
"FRA","France","FRB","Centre - Val de Loire","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,100,,
"FRA","France","FRC","Bourgogne-Franche-Comté","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,99.1,,
"FRA","France","FRC","Bourgogne-Franche-Comté","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,99.3,,
"FRA","France","FRD","Normandy","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,99.2,,
"FRA","France","FRD","Normandy","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,100,,
"FRA","France","FRE","Hauts-de-France","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2016","2016","PC","Percentage","0","Units",,,100,,
"FRA","France","FRE","Hauts-de-France","ENRL_RATE_AGE_Y3T5","Enrolment rate for 3 to 5 year-olds age range","T","All ISCED levels","T","Total","VALUE","Value","2017","2017","PC","Percentage","0","Units",,,100,,
