,TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,SEX,Gender,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,unemp_n,UNEM_RA_15_MAX,UNEM_RA_15_MAX_SEXDIF,UNEM_RA_15_64,UNEM_RA_15_64_SEXDIF
15,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2001,2001,PER,Persons,0,Units,70873.0,9.0,,9.1,
16,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2002,2002,PER,Persons,0,Units,72126.0,9.0,,9.1,
17,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2003,2003,PER,Persons,0,Units,57720.0,7.0,,7.0,
18,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2004,2004,PER,Persons,0,Units,53329.0,6.6,,6.6,
19,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2005,2005,PER,Persons,0,Units,53100.0,6.5,,6.5,
20,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2006,2006,PER,Persons,0,Units,42320.0,5.1,,5.2,
21,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2007,2007,PER,Persons,0,Units,43444.0,5.2,,5.3,
22,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2008,2008,PER,Persons,0,Units,55207.0,6.4,,6.5,
23,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2009,2009,PER,Persons,0,Units,66900.0,7.8,,7.9,
24,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2010,2010,PER,Persons,0,Units,71893.0,8.3,,8.4,
25,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2011,2011,PER,Persons,0,Units,75772.0,8.5,,8.6,
26,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2012,2012,PER,Persons,0,Units,94533.0,10.5,,10.6,
27,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2013,2013,PER,Persons,0,Units,97647.0,11.0,,11.1,
28,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2014,2014,PER,Persons,0,Units,108335.0,12.1,,12.2,
29,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2015,2015,PER,Persons,0,Units,93700.0,10.5,,10.6,
30,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2001,2001,PER,Persons,0,Units,70873.0,6.5,,6.6,
31,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2002,2002,PER,Persons,0,Units,72126.0,6.6,,6.7,
32,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2003,2003,PER,Persons,0,Units,57720.0,5.2,,5.3,
33,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2004,2004,PER,Persons,0,Units,53329.0,4.9,,5.0,
34,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2005,2005,PER,Persons,0,Units,53100.0,4.9,,5.0,
35,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2006,2006,PER,Persons,0,Units,42320.0,3.9,,4.0,
36,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2007,2007,PER,Persons,0,Units,43444.0,4.0,,4.1,
37,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2008,2008,PER,Persons,0,Units,55207.0,5.0,,5.2,
38,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2009,2009,PER,Persons,0,Units,66900.0,6.0,,6.2,
39,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2010,2010,PER,Persons,0,Units,71893.0,6.6,,6.7,
40,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2011,2011,PER,Persons,0,Units,75772.0,6.9,,7.1,
41,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2012,2012,PER,Persons,0,Units,94533.0,8.6,,8.8,
42,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2013,2013,PER,Persons,0,Units,97647.0,8.9,,9.2,
43,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2014,2014,PER,Persons,0,Units,108335.0,9.8,,10.1,
44,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2015,2015,PER,Persons,0,Units,93700.0,8.4,,8.7,
45,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2001,2001,PER,Persons,0,Units,60800.0,6.2,2.4,,
46,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2002,2002,PER,Persons,0,Units,60100.0,6.2,2.2,,
47,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2003,2003,PER,Persons,0,Units,58500.0,6.0,2.0,,
48,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2004,2004,PER,Persons,0,Units,59803.0,6.2,1.9,6.2,1.8
49,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2005,2005,PER,Persons,0,Units,47298.0,4.9,1.6,4.9,1.6
50,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2006,2006,PER,Persons,0,Units,40933.0,4.2,1.1,4.3,1.0
51,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2007,2007,PER,Persons,0,Units,45576.0,4.6,1.1,4.7,1.1
52,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2008,2008,PER,Persons,0,Units,57148.0,5.6,1.3,5.7,1.2
53,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2009,2009,PER,Persons,0,Units,83561.0,8.3,1.9,8.4,1.8
54,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2010,2010,PER,Persons,0,Units,93850.0,9.3,1.9,9.4,1.9
55,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2011,2011,PER,Persons,0,Units,93081.0,9.1,1.6,9.2,1.6
56,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2012,2012,PER,Persons,0,Units,100587.0,9.8,1.6,9.9,1.5
57,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2013,2013,PER,Persons,0,Units,115174.0,11.3,1.9,11.4,1.8
58,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2014,2014,PER,Persons,0,Units,133302.0,12.9,2.2,13.1,2.0
59,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2001,2001,PER,Persons,0,Units,36600.0,8.9,,,
60,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2002,2002,PER,Persons,0,Units,35800.0,8.6,,,
61,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2003,2003,PER,Persons,0,Units,34700.0,8.2,,,
62,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2004,2004,PER,Persons,0,Units,31006.0,7.5,,7.5,
63,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2005,2005,PER,Persons,0,Units,28355.0,6.7,,6.8,
64,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2006,2006,PER,Persons,0,Units,21906.0,5.1,,5.1,
65,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2007,2007,PER,Persons,0,Units,22883.0,5.3,,5.3,
66,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2008,2008,PER,Persons,0,Units,30365.0,6.7,,6.7,
67,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2009,2009,PER,Persons,0,Units,41867.0,9.4,,9.4,
68,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2010,2010,PER,Persons,0,Units,44078.0,9.8,,9.9,
69,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2011,2011,PER,Persons,0,Units,46911.0,10.0,,10.1,
70,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2012,2012,PER,Persons,0,Units,50663.0,10.7,,10.8,
71,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2013,2013,PER,Persons,0,Units,53371.0,11.5,,11.6,
72,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,F,Females,ALL,All regions,2014,2014,PER,Persons,0,Units,62520.0,13.3,,13.4,
73,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2001,2001,PER,Persons,0,Units,36600.0,6.5,,,
74,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2002,2002,PER,Persons,0,Units,35800.0,6.4,,,
75,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2003,2003,PER,Persons,0,Units,34700.0,6.2,,,
76,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2004,2004,PER,Persons,0,Units,31006.0,5.6,,5.7,
77,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2005,2005,PER,Persons,0,Units,28355.0,5.1,,5.2,
78,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2006,2006,PER,Persons,0,Units,21906.0,4.0,,4.1,
79,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2007,2007,PER,Persons,0,Units,22883.0,4.2,,4.2,
80,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2008,2008,PER,Persons,0,Units,30365.0,5.4,,5.5,
81,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2009,2009,PER,Persons,0,Units,41867.0,7.5,,7.6,
82,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2010,2010,PER,Persons,0,Units,44078.0,7.9,,8.0,
83,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2011,2011,PER,Persons,0,Units,46911.0,8.4,,8.5,
84,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2012,2012,PER,Persons,0,Units,50663.0,9.1,,9.3,
85,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2013,2013,PER,Persons,0,Units,53371.0,9.6,,9.8,
86,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,M,Males,ALL,All regions,2014,2014,PER,Persons,0,Units,62520.0,11.1,,11.4,
87,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2002,2002,PER,Persons,0,Units,2700.0,3.6,1.3,,
88,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2004,2004,PER,Persons,0,Units,3715.0,4.7,1.5,4.8,1.4
89,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2005,2005,PER,Persons,0,Units,3896.0,5.0,1.8,5.1,1.7
90,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2006,2006,PER,Persons,0,Units,2843.0,3.6,0.9,3.7,0.8
91,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2007,2007,PER,Persons,0,Units,3257.0,4.2,1.4,4.3,1.3
92,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2008,2008,PER,Persons,0,Units,3407.0,4.4,1.8,4.5,1.6
93,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2009,2009,PER,Persons,0,Units,4138.0,5.2,1.4,5.3,1.3
94,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2010,2010,PER,Persons,0,Units,4625.0,5.8,1.2,5.9,1.1
95,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2011,2011,PER,Persons,0,Units,4919.0,6.3,1.3,6.4,1.2
96,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2012,2012,PER,Persons,0,Units,9058.0,11.0,2.5,11.3,2.3
97,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2013,2013,PER,Persons,0,Units,9619.0,11.9,2.6,12.2,2.3
98,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,T,Total,ALL,All regions,2014,2014,PER,Persons,0,Units,8744.0,11.1,2.4,11.4,2.2
99,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2001,2001,PER,Persons,0,Units,1100.0,3.4,,,
100,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2002,2002,PER,Persons,0,Units,1400.0,4.5,,,
101,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2003,2003,PER,Persons,0,Units,1400.0,4.5,,,
102,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2004,2004,PER,Persons,0,Units,2062.0,6.1,,6.1,
103,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2005,2005,PER,Persons,0,Units,2280.0,6.8,,6.9,
104,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2006,2006,PER,Persons,0,Units,1321.0,3.9,,3.9,
105,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2007,2007,PER,Persons,0,Units,1812.0,5.5,,5.5,
106,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2008,2008,PER,Persons,0,Units,2090.0,6.4,,6.4,
107,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2009,2009,PER,Persons,0,Units,1785.0,5.3,,5.3,
108,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2010,2010,PER,Persons,0,Units,2262.0,6.3,,6.4,
109,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2011,2011,PER,Persons,0,Units,2321.0,6.6,,6.7,
110,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2012,2012,PER,Persons,0,Units,4794.0,13.1,,13.2,
111,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2013,2013,PER,Persons,0,Units,4660.0,13.0,,13.0,
112,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,F,Females,ALL,All regions,2014,2014,PER,Persons,0,Units,4238.0,12.1,,12.2,
113,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2001,2001,PER,Persons,0,Units,1100.0,2.4,,,
114,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2002,2002,PER,Persons,0,Units,1400.0,3.2,,,
115,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2003,2003,PER,Persons,0,Units,1400.0,3.2,,,
116,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2004,2004,PER,Persons,0,Units,2062.0,4.6,,4.7,
117,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2005,2005,PER,Persons,0,Units,2280.0,5.0,,5.2,
118,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2006,2006,PER,Persons,0,Units,1321.0,3.0,,3.1,
119,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2007,2007,PER,Persons,0,Units,1812.0,4.1,,4.2,
120,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2008,2008,PER,Persons,0,Units,2090.0,4.6,,4.8,
121,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2009,2009,PER,Persons,0,Units,1785.0,3.9,,4.0,
122,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2010,2010,PER,Persons,0,Units,2262.0,5.1,,5.3,
123,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2011,2011,PER,Persons,0,Units,2321.0,5.3,,5.5,
124,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2012,2012,PER,Persons,0,Units,4794.0,10.6,,10.9,
125,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2013,2013,PER,Persons,0,Units,4660.0,10.4,,10.7,
126,3_IN,  Small regions (TL3) - intermediate,ITC12,Vercelli,UNEM,Unemployed,M,Males,ALL,All regions,2014,2014,PER,Persons,0,Units,4238.0,9.7,,10.0,
127,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2001,2001,PER,Persons,0,Units,2200.0,2.7,0.5,,
128,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2002,2002,PER,Persons,0,Units,3500.0,4.1,1.1,,
129,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2003,2003,PER,Persons,0,Units,3000.0,3.4,0.9,,
130,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2004,2004,PER,Persons,0,Units,4217.0,5.1,1.7,5.2,1.7
131,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2005,2005,PER,Persons,0,Units,4380.0,5.3,1.6,5.4,1.6
132,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2006,2006,PER,Persons,0,Units,4013.0,4.8,1.5,4.9,1.4
133,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2007,2007,PER,Persons,0,Units,3535.0,4.2,1.0,4.3,1.0
134,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2008,2008,PER,Persons,0,Units,4066.0,4.8,1.1,4.9,1.0
135,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2009,2009,PER,Persons,0,Units,5614.0,6.6,1.2,6.7,1.0
136,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2010,2010,PER,Persons,0,Units,6707.0,8.0,1.3,8.2,1.2
137,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2011,2011,PER,Persons,0,Units,6643.0,8.3,1.6,8.4,1.5
138,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2012,2012,PER,Persons,0,Units,7038.0,8.8,1.5,8.9,1.4
139,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2013,2013,PER,Persons,0,Units,7782.0,9.6,1.6,9.8,1.4
140,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,T,Total,ALL,All regions,2014,2014,PER,Persons,0,Units,8637.0,10.4,1.6,10.6,1.3
141,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2002,2002,PER,Persons,0,Units,2200.0,5.8,,,
142,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2003,2003,PER,Persons,0,Units,1800.0,4.6,,,
143,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2004,2004,PER,Persons,0,Units,2483.0,7.0,,7.0,
144,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2005,2005,PER,Persons,0,Units,2501.0,7.0,,7.0,
145,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2006,2006,PER,Persons,0,Units,2270.0,6.3,,6.3,
146,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2007,2007,PER,Persons,0,Units,1875.0,5.0,,5.1,
147,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2008,2008,PER,Persons,0,Units,2360.0,6.2,,6.2,
148,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2009,2009,PER,Persons,0,Units,2691.0,7.0,,7.0,
149,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2010,2010,PER,Persons,0,Units,3488.0,9.1,,9.2,
150,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2011,2011,PER,Persons,0,Units,3508.0,9.6,,9.7,
151,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2012,2012,PER,Persons,0,Units,3087.0,8.5,,8.6,
152,3_IN,  Small regions (TL3) - intermediate,ITC13,Biella,UNEM,Unemployed,F,Females,ALL,All regions,2013,2013,PER,Persons,0,Units,3913.0,10.5,,10.6,
