,Unnamed: 0,Unnamed: 0.1,TL,Territory level and Typology,REG_ID,Region,VAR,Indicator,SEX,Gender,POS,Position,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,unemp_n,UNEM_RA_15_MAX,UNEM_RA_15_MAX_SEXDIF,UNEM_RA_15_64,UNEM_RA_15_64_SEXDIF,POP_65M_SH,YOU_DEP_RA,ELD_DEP_RA,DEM_DEP_RA,SR_TOT_RA,SR_YOU_RA,SR_ELD_RA,KID_WOM_RA,POP_80M_SH,POP_TOT_GI,POP_65M_GI,ENRL_RATE_AGE_Y3T5,ENRL_RATE_AGE_Y6T14,ENRL_RATE_AGE_Y15T19,ENRL_RATE_AGE_Y20T29,ENRL_RATE_AGE_Y30T39,ENRL_RATE_AGE_Y40T64,ENRL_RATE_AGE_Y30T39_is_NA,UNEM_RA_15_MAX_is_NA,UNEM_RA_15_MAX_SEXDIF_is_NA,UNEM_RA_15_64_is_NA,UNEM_RA_15_64_SEXDIF_is_NA,POP_65M_SH_is_NA,YOU_DEP_RA_is_NA,ELD_DEP_RA_is_NA,DEM_DEP_RA_is_NA,SR_TOT_RA_is_NA,SR_YOU_RA_is_NA,SR_ELD_RA_is_NA,KID_WOM_RA_is_NA,POP_80M_SH_is_NA,POP_TOT_GI_is_NA,POP_65M_GI_is_NA,ENRL_RATE_AGE_Y3T5_is_NA,ENRL_RATE_AGE_Y6T14_is_NA,ENRL_RATE_AGE_Y15T19_is_NA,ENRL_RATE_AGE_Y20T29_is_NA,ENRL_RATE_AGE_Y40T64_is_NA
15,15,15,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2001,2001,PER,Persons,0,Units,70873.0,9.0,4.095359628770305,9.1,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,16,16,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2002,2002,PER,Persons,0,Units,72126.0,9.0,4.095359628770305,9.1,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,17,17,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2003,2003,PER,Persons,0,Units,57720.0,7.0,4.095359628770305,7.0,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,18,18,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2004,2004,PER,Persons,0,Units,53329.0,6.6,4.095359628770305,6.6,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,19,19,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2005,2005,PER,Persons,0,Units,53100.0,6.5,4.095359628770305,6.5,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,20,20,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2006,2006,PER,Persons,0,Units,42320.0,5.1,4.095359628770305,5.2,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,21,21,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2007,2007,PER,Persons,0,Units,43444.0,5.2,4.095359628770305,5.3,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,22,22,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2008,2008,PER,Persons,0,Units,55207.0,6.4,4.095359628770305,6.5,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,23,23,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2009,2009,PER,Persons,0,Units,66900.0,7.8,4.095359628770305,7.9,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,24,24,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2010,2010,PER,Persons,0,Units,71893.0,8.3,4.095359628770305,8.4,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,25,25,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2011,2011,PER,Persons,0,Units,75772.0,8.5,4.095359628770305,8.6,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,26,26,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2012,2012,PER,Persons,0,Units,94533.0,10.5,4.095359628770305,10.6,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,27,27,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2013,2013,PER,Persons,0,Units,97647.0,11.0,4.095359628770305,11.1,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,28,28,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2014,2014,PER,Persons,0,Units,108335.0,12.1,4.095359628770305,12.2,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,29,29,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,F,Females,ALL,All regions,2015,2015,PER,Persons,0,Units,93700.0,10.5,4.095359628770305,10.6,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,30,30,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2001,2001,PER,Persons,0,Units,70873.0,6.5,4.095359628770305,6.6,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,31,31,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2002,2002,PER,Persons,0,Units,72126.0,6.6,4.095359628770305,6.7,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,32,32,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2003,2003,PER,Persons,0,Units,57720.0,5.2,4.095359628770305,5.3,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,33,33,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2004,2004,PER,Persons,0,Units,53329.0,4.9,4.095359628770305,5.0,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,34,34,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2005,2005,PER,Persons,0,Units,53100.0,4.9,4.095359628770305,5.0,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,35,35,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2006,2006,PER,Persons,0,Units,42320.0,3.9,4.095359628770305,4.0,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,36,36,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2007,2007,PER,Persons,0,Units,43444.0,4.0,4.095359628770305,4.1,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,37,37,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2008,2008,PER,Persons,0,Units,55207.0,5.0,4.095359628770305,5.2,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,38,38,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2009,2009,PER,Persons,0,Units,66900.0,6.0,4.095359628770305,6.2,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,39,39,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2010,2010,PER,Persons,0,Units,71893.0,6.6,4.095359628770305,6.7,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,40,40,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2011,2011,PER,Persons,0,Units,75772.0,6.9,4.095359628770305,7.1,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,41,41,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2012,2012,PER,Persons,0,Units,94533.0,8.6,4.095359628770305,8.8,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,42,42,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2013,2013,PER,Persons,0,Units,97647.0,8.9,4.095359628770305,9.2,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,43,43,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2014,2014,PER,Persons,0,Units,108335.0,9.8,4.095359628770305,10.1,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,44,44,2,Large regions (TL2),ITC1,Piedmont,UNEM,Unemployed,M,Males,ALL,All regions,2015,2015,PER,Persons,0,Units,93700.0,8.4,4.095359628770305,8.7,3.864658848614071,21.142883928571397,20.76189285714286,32.52087053571425,53.28276339285708,94.32322321428579,105.95110267857146,73.36978125000003,19.318767985611494,5.9778147482014425,102.86218749999993,112.98008928571409,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,45,45,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2001,2001,PER,Persons,0,Units,60800.0,6.2,2.4,9.88573205401563,3.864658848614071,19.51,17.75,28.54,46.29,93.32,106.16,69.3,17.57,4.18,100.0,100.0,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
46,46,46,3_PU,  Small regions (TL3) - predominantly urban,ITC11,Turin,UNEM,Unemployed,T,Total,ALL,All regions,2002,2002,PER,Persons,0,Units,60100.0,6.2,2.2,9.88573205401563,3.864658848614071,19.97,17.96,29.43,47.39,93.14,106.03,69.48,17.81,4.42,99.8,102.1,95.33257575757578,97.8560606060606,84.41515151515156,21.308333333333334,2.3530303030303035,0.45681818181818185,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
